,artist_popularity,followers,genres,name,urn
0,100,24256213,"['dance pop', 'pop', 'post-teen pop']",Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
1,90,9427069,"['dance pop', 'pop', 'post-teen pop']",Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
2,93,6653702,"['pop', 'rap']",Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB
3,89,17602063,"['dance pop', 'pop', 'post-teen pop']",Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
4,86,8270200,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
5,90,29753106,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
6,88,10457538,"['australian dance', 'australian pop', 'dance pop', 'pop']",Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
7,86,12537322,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp
8,93,14250148,"['dance pop', 'hip pop', 'pop', 'pop rap', 'rap']",Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
9,89,13557858,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
10,91,5105938,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2
11,69,399728,"['pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",The Carters,spotify:artist:4fpTMHe34LC5t3h5ztK8qu
12,86,3042426,"['dance pop', 'pop', 'post-teen pop']",Bebe Rexha,spotify:artist:64M6ah0SkkRsnPGtGiRAbb
13,86,2779601,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
14,93,4367276,"['electropop', 'pop']",Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
15,84,15343510,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp
16,90,6434357,"['dance pop', 'pop']",Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms
17,82,2346427,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap']",SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
18,84,14017459,['pop'],Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
19,84,7065631,['baile pop'],Anitta,spotify:artist:7FNnA9vBm6EKceENgCGRMb
20,83,7753226,['pop'],Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa
21,85,1381668,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']",Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m
22,82,3550506,"['dance pop', 'pop', 'post-teen pop']",Hailee Steinfeld,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F
23,82,5754089,"['dance pop', 'pop', 'post-teen pop']",P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR
24,82,2571495,"['latin', 'latin pop', 'reggaeton', 'tropical']",Natti Natasha,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7
25,83,12188531,"['dance pop', 'pop', 'post-teen pop']",Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X
26,82,1326617,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",Jess Glynne,spotify:artist:4ScCswdRlyA23odg9thgIO
27,83,3578368,"['dance pop', 'edm', 'pop', 'post-teen pop', 'r&b', 'tropical house']",Rita Ora,spotify:artist:5CCwRZC6euC8Odo6y9X8jr
28,86,3933335,"['latin viral pop', 'pop', 'reggaeton']",Becky G,spotify:artist:4obzFoKoKRHIphyHzJ35G3
29,83,2127659,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'rap']",Kehlani,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX
30,86,4023967,['reggaeton'],Karol G,spotify:artist:790FomKkXshlbRYZFtlgla
31,85,3886810,"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'post-teen pop', 'tropical house']",Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
32,78,4056118,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm
33,85,7850081,"['dance pop', 'pop', 'post-teen pop']",Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6
34,82,4647679,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b']",Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
35,80,5666656,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
36,77,2190457,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Zendaya,spotify:artist:6sCbFbEjbYepqswM1vWjjs
37,76,79346,"['broadway', 'hollywood']",Keala Settle,spotify:artist:7HV2RI2qNug4EcQqLbCAKS
38,84,5956018,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'tropical house']",Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
39,78,5927644,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR
40,83,8412865,['sertanejo'],Marília Mendonça,spotify:artist:1yR65psqiazQpeM79CcGh8
41,80,3923133,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
42,81,6904102,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']",Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
43,79,5785740,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
44,84,237180,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Normani,spotify:artist:2cWZOOzeOm4WmBJRnD5R7I
45,81,3901467,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
46,83,4337579,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'r&b', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg
47,78,5336219,['neo soul'],Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR
48,78,1428050,"['candy pop', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']",Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5
49,78,209647,"['pop', 'r&b', 'uk hip hop']",Stefflon Don,spotify:artist:2ExGrw6XpbtUAJHTLtUXUD
