,acousticness,artist_name,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,song_names,song_popularity,speechiness,tempo,time_signature,valence
0,0.601,Ariana Grande,0.7709999999999999,178627,0.32,0.0,1,0.0885,-10.752,0,7 rings,84,0.316,139.844,4,0.312
1,0.24,Ariana Grande,0.735,207320,0.638,0.0,1,0.102,-5.605,1,"thank u, next",82,0.0785,107.016,4,0.402
2,0.0378,Ariana Grande,0.726,190440,0.545,0.0,5,0.10800000000000001,-5.489,0,"break up with your girlfriend, i'm bored",90,0.102,169.99099999999999,4,0.348
3,0.04,Ariana Grande,0.6990000000000001,205920,0.713,3.11e-06,9,0.294,-5.507000000000001,0,no tears left to cry,88,0.0594,121.993,4,0.354
4,0.364,Ariana Grande,0.7090000000000001,212267,0.474,0.0,8,0.12,-4.89,1,imagine,82,0.0423,125.10700000000001,3,0.366
5,0.0211,Ariana Grande,0.568,198160,0.6559999999999999,1.3699999999999998e-05,8,0.213,-5.412999999999999,1,breathin,87,0.0433,100.04899999999999,4,0.364
6,0.787,Ariana Grande,0.607,171573,0.314,3.13e-06,7,0.201,-8.026,0,needy,86,0.0372,86.99,4,0.16899999999999998
7,0.0233,Ariana Grande,0.602,197547,0.6579999999999999,5.9999999999999995e-05,1,0.237,-5.934,1,God is a woman,86,0.0558,145.031,4,0.268
8,0.0738,Ariana Grande,0.765,216893,0.6629999999999999,9.87e-05,2,0.20600000000000002,-5.185,0,bloodline,86,0.0886,151.97899999999998,4,0.633
9,0.45299999999999996,Ariana Grande,0.597,182000,0.45799999999999996,0.0,6,0.253,-6.909,1,NASA,59,0.29600000000000004,74.972,4,0.542
0,0.037000000000000005,Dua Lipa,0.7909999999999999,214847,0.862,2.1899999999999997e-05,9,0.0814,-3.24,0,One Kiss (with Dua Lipa),87,0.11,123.994,4,0.5920000000000001
1,0.0658,Dua Lipa,0.6779999999999999,189173,0.7290000000000001,0.0,8,0.303,-4.188,1,Kiss and Make Up,87,0.13699999999999998,99.895,4,0.643
2,0.0104,Dua Lipa,0.588,238173,0.67,3.33e-06,0,0.33799999999999997,-6.439,1,Electricity (with Dua Lipa),86,0.0473,118.15899999999999,4,0.505
3,0.0403,Dua Lipa,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,IDGAF,85,0.0943,97.02799999999999,4,0.51
4,0.0026100000000000003,Dua Lipa,0.762,209320,0.7,1.56e-05,9,0.153,-6.021,0,New Rules,84,0.0694,116.073,4,0.608
5,0.00579,Dua Lipa,0.588,182075,0.821,0.000275,5,0.20800000000000002,-6.54,0,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",84,0.21600000000000003,188.09799999999998,4,0.509
6,0.0895,Dua Lipa,0.584,220883,0.54,0.0,1,0.261,-7.7860000000000005,0,Scared to Be Lonely,80,0.0576,137.972,4,0.195
7,0.0788,Dua Lipa,0.5720000000000001,211818,0.691,0.000132,8,0.0619,-4.783,0,Want To,61,0.12300000000000001,92.08200000000001,4,0.318
8,0.251,Dua Lipa,0.7170000000000001,281267,0.752,0.000468,0,0.0802,-6.933,1,One Kiss (with Dua Lipa) - Oliver Heldens Remix,73,0.065,123.97,4,0.14
9,0.11699999999999999,Dua Lipa,0.6609999999999999,202915,0.6509999999999999,1.32e-05,7,0.055999999999999994,-3.7710000000000004,0,Be The One,69,0.0499,87.46,4,0.368
0,0.099,Cardi B,0.816,253390,0.726,0.0,5,0.37200000000000005,-3.998,0,I Like It,88,0.129,136.048,4,0.65
1,0.00534,Cardi B,0.95,183527,0.59,0.0,8,0.11,-6.507999999999999,0,Money,88,0.29,130.003,4,0.21899999999999997
2,0.0185,Cardi B,0.7040000000000001,217289,0.8590000000000001,0.0,5,0.0215,-4.877,0,Finesse (Remix) [feat. Cardi B],81,0.0996,105.115,4,0.9259999999999999
3,0.0338,Cardi B,0.8959999999999999,303077,0.515,0.0,2,0.317,-5.395,1,MotorSport,80,0.183,138.016,4,0.174
4,0.0659,Cardi B,0.9259999999999999,223713,0.703,0.0,11,0.231,-6.337000000000001,0,Bodak Yellow,79,0.10300000000000001,125.022,4,0.485
5,0.0886,Cardi B,0.7959999999999999,190466,0.68,0.0,10,0.268,-4.853,0,Backin' It Up (feat. Cardi B),77,0.353,164.93200000000002,4,0.565
6,0.049,Cardi B,0.767,177140,0.5429999999999999,0.0,1,0.115,-7.881,0,Ring (feat. Kehlani),77,0.10300000000000001,106.029,4,0.485
7,0.0256,Cardi B,0.82,210787,0.568,0.0,6,0.0952,-8.23,0,Be Careful,76,0.41100000000000003,152.279,4,0.535
8,0.0011099999999999999,Cardi B,0.9079999999999999,224285,0.524,0.000678,1,0.38299999999999995,-7.955,1,Bartier Cardi (feat. 21 Savage),76,0.18100000000000002,138.015,4,0.109
9,0.0511,Cardi B,0.968,262308,0.589,0.0,11,0.0731,-7.808,1,Drip (feat. Migos),74,0.255,129.993,4,0.268
0,0.21600000000000003,Taylor Swift,0.75,232253,0.40399999999999997,0.000357,9,0.0911,-10.177999999999999,0,Delicate,72,0.0682,95.045,4,0.0499
1,0.0586,Taylor Swift,0.731,247160,0.445,1.9600000000000002e-05,0,0.14,-8.418,1,I Don’t Wanna Live Forever (Fifty Shades Darker),71,0.0533,117.97,4,0.106
2,0.0647,Taylor Swift,0.647,219200,0.8,0.0,7,0.33399999999999996,-5.3839999999999995,1,Shake It Off,62,0.165,160.078,4,0.9420000000000001
3,0.10300000000000001,Taylor Swift,0.76,231827,0.703,0.0,5,0.0913,-5.412000000000001,1,Blank Space,65,0.054000000000000006,95.99700000000001,4,0.57
4,0.204,Taylor Swift,0.7659999999999999,211853,0.7090000000000001,1.4099999999999999e-05,9,0.126,-6.471,0,Look What You Made Me Do,74,0.12300000000000001,128.07,4,0.506
5,0.00454,Taylor Swift,0.622,219720,0.469,2.25e-06,3,0.0335,-6.797999999999999,0,I Knew You Were Trouble.,73,0.0363,77.01899999999999,4,0.679
6,0.00845,Taylor Swift,0.649,244827,0.589,0.0,2,0.10800000000000001,-6.237,1,End Game,68,0.0558,159.07299999999998,4,0.151
7,0.0527,Taylor Swift,0.613,208187,0.764,0.0,2,0.19699999999999998,-6.5089999999999995,1,...Ready For It?,69,0.136,160.015,4,0.41700000000000004
8,0.131,Taylor Swift,0.617,236267,0.741,0.0,2,0.0772,-3.97,1,Love Story,72,0.0311,118.984,4,0.306
9,0.0692,Taylor Swift,0.55,220440,0.688,0.00144,8,0.106,-7.416,1,Wildest Dreams,63,0.0897,139.997,4,0.465
0,0.34600000000000003,Camila Cabello,0.638,180000,0.7170000000000001,0.0,2,0.105,-4.7219999999999995,1,Beautiful (feat. Camila Cabello),88,0.0337,100.027,4,0.249
1,0.184,Camila Cabello,0.765,217307,0.523,3.5600000000000005e-05,2,0.132,-4.333,1,Havana,86,0.03,104.988,4,0.39399999999999996
2,0.18100000000000002,Camila Cabello,0.637,226973,0.713,0.000637,0,0.13699999999999998,-4.333,1,Never Be the Same,79,0.0747,129.923,4,0.243
3,0.645,Camila Cabello,0.547,181913,0.289,0.0,0,0.14800000000000002,-8.131,1,Consequences - orchestra,78,0.0348,104.851,3,0.213
4,0.235,Camila Cabello,0.701,223583,0.512,5.07e-06,0,0.135,-6.869,0,Real Friends,77,0.0969,91.947,4,0.6629999999999999
5,0.889,Camila Cabello,0.455,178467,0.292,0.0,0,0.106,-6.792000000000001,1,Consequences,74,0.0563,84.339,5,0.43
6,0.33399999999999996,Camila Cabello,0.33399999999999996,216391,0.617,0.0,6,0.163,-5.834,0,Crying in the Club,74,0.38299999999999995,85.227,4,0.603
7,0.214,Camila Cabello,0.6970000000000001,239293,0.691,0.0,2,0.185,-4.757,1,Bad Things (with Camila Cabello),74,0.146,137.85299999999998,4,0.305
8,0.166,Camila Cabello,0.65,177160,0.758,0.0,2,0.0889,-4.02,1,She Loves Control,73,0.11599999999999999,94.9,4,0.6629999999999999
9,0.609,Camila Cabello,0.732,164373,0.436,0.0,1,0.10800000000000001,-7.409,0,All These Years,72,0.11699999999999999,94.852,4,0.475
0,0.00864,Rihanna,0.583,275987,0.8290000000000001,0.0,1,0.0426,-4.603,1,Umbrella,61,0.134,174.028,4,0.575
1,0.878,Rihanna,0.5760000000000001,188238,0.267,0.0,2,0.11900000000000001,-5.667999999999999,1,FourFiveSeconds,78,0.044000000000000004,205.888,4,0.326
2,0.0717,Rihanna,0.509,224000,0.637,1.0800000000000002e-05,4,0.0789,-4.83,0,Love On The Brain,72,0.0471,172.00599999999997,3,0.37799999999999995
3,0.248,Rihanna,0.6970000000000001,229413,0.467,0.0,9,0.0941,-7.5360000000000005,1,Take A Bow,78,0.0715,82.081,4,0.5720000000000001
4,0.0336,Rihanna,0.835,267080,0.669,6.92e-05,6,0.0535,-5.582000000000001,0,Don't Stop The Music,59,0.0643,122.66799999999999,4,0.542
5,0.0538,Rihanna,0.778,219306,0.741,2.04e-06,10,0.29,-4.97,0,Bitch Better Have My Money,75,0.0484,102.95,4,0.364
6,0.0752,Rihanna,0.725,219320,0.534,0.0,11,0.0919,-6.2379999999999995,1,Work,67,0.0946,91.97399999999999,4,0.5579999999999999
7,0.000155,Rihanna,0.779,246960,0.64,0.0007700000000000001,7,0.10099999999999999,-8.415,1,Pon de Replay,74,0.159,99.01899999999999,4,0.498
8,0.11,Rihanna,0.6709999999999999,191600,0.314,0.0,5,0.0825,-8.091000000000001,0,Needed Me,71,0.244,110.898,4,0.29600000000000004
9,0.945,Rihanna,0.621,240707,0.31,6.12e-05,9,0.11699999999999999,-10.164,0,Stay - Album Version (Edited),63,0.0283,111.89299999999999,4,0.125
0,0.0085,Sia,0.691,187027,0.716,9.06e-06,7,0.263,-5.985,1,"Thunderclouds (with Sia, Diplo & Labrinth)",85,0.0351,112.035,4,0.507
1,0.10099999999999999,Sia,0.258,239000,0.43700000000000006,1.27e-06,11,0.106,-6.593,0,Dusk Till Dawn - Radio Edit,82,0.039,180.043,4,0.0967
2,0.0817,Sia,0.631,194680,0.649,3.8e-06,5,0.0934,-5.892,0,Flames,57,0.0385,93.95,4,0.42100000000000004
3,0.0864,Sia,0.622,213040,0.621,9.8e-05,11,0.121,-4.9239999999999995,0,"Genius (with Sia, Diplo & Labrinth)",79,0.129,158.946,4,0.5670000000000001
4,0.0197,Sia,0.39899999999999997,216120,0.787,6.07e-05,1,0.0685,-2.88,1,Chandelier,71,0.0499,117.089,5,0.5720000000000001
5,0.192,Sia,0.365,203400,0.6920000000000001,1.51e-06,3,0.0862,-4.586,0,"Audio (with Sia, Diplo & Labrinth)",77,0.0671,89.99799999999999,4,0.37200000000000005
6,0.0472,Sia,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,Cheap Thrills,71,0.105,89.976,4,0.732
7,0.0102,Sia,0.6679999999999999,210227,0.725,0.000479,1,0.0561,-6.127000000000001,1,The Greatest,75,0.266,191.94400000000002,4,0.7290000000000001
8,0.0143,Sia,0.6579999999999999,162920,0.7829999999999999,0.000181,11,0.0543,-3.3810000000000002,0,"Genius (with Lil Wayne, Sia, Diplo & Labrinth - Lil Wayne Remix)",75,0.19399999999999998,159.049,4,0.745
9,0.0117,Sia,0.42100000000000004,257200,0.7909999999999999,1.4800000000000002e-05,9,0.146,-4.998,1,Elastic Heart,67,0.0496,130.075,4,0.499
