,artist_popularity,followers,genres,name,urn
0,98,33240378,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
1,96,11154462,"['pop', 'rap']",Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
2,96,10741548,"['emo rap', 'miami hip hop']",XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
3,91,12993020,"['latin', 'pop', 'reggaeton']",J Balvin,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
4,91,40105084,['pop'],Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
5,93,24124957,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
6,94,11015735,"['reggaeton', 'trap latino']",Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
7,95,14728803,"['reggaeton', 'trap latino']",Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
8,94,5031589,['pop'],Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny
9,89,11829847,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
10,94,4661172,"['pop', 'pop rap', 'rap']",Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
11,90,14501251,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
12,90,9179387,"['chicago rap', 'pop rap', 'rap']",Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
13,89,17654352,"['dance pop', 'edm', 'pop']",David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai
14,90,9027012,"['brostep', 'egyptian pop', 'progressive electro house']",Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
15,88,14736969,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr
16,83,117654,"['dance pop', 'electropop', 'pop', 'tropical house']",benny blanco,spotify:artist:5CiGnKThu5ctn9pBxv7DGa
17,90,10254624,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m
18,89,19728327,"['dance pop', 'pop', 'post-teen pop']",Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
19,91,7605134,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
20,90,7891038,['pop'],Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
21,89,14479202,['reggaeton'],Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau
22,89,8084519,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
23,90,7490065,"['conscious hip hop', 'nc hip hop', 'pop', 'pop rap', 'rap']",J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
24,91,3143232,['chicago rap'],Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
25,85,4239809,"['edm', 'pop', 'tropical house']",Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4
26,86,3321639,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
27,87,5702098,"['philly rap', 'rap', 'trap music']",Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
28,85,3693548,"['hip hop', 'indie pop rap', 'pop', 'pop rap', 'rap']",G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
29,84,8746127,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",Martin Garrix,spotify:artist:60d24wfXkVzDSfLS6hyCjZ
30,83,12011436,"['big room', 'dance pop', 'edm', 'pop']",Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
31,90,7378893,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap music']",Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
32,89,3412533,['emo rap'],6ix9ine,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf
33,87,8721353,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Nicky Jam,spotify:artist:1SupJlEpv7RS2tPNRaHViT
34,88,26159296,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s
35,90,4329635,"['miami hip hop', 'pop', 'pop rap', 'rap', 'trap music']",Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
36,83,6473946,"['dance pop', 'pinoy hip hop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
37,86,1131488,"['hip hop', 'pop', 'pop rap', 'rap', 'trap music']",Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
38,96,10741550,"['emo rap', 'miami hip hop']",XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
39,80,4535260,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
40,82,6194009,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Charlie Puth,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
