,artist_name,popularity,track_name,uri
0,Drake,"[88, 87, 87, 85, 84, 84, 84, 81, 80, 80]","[""God's Plan"", 'In My Feelings', 'Nonstop', 'Look Alive (feat. Drake)', 'Nice For What', 'Yes Indeed', 'Never Recover (Lil Baby & Gunna, Drake)', 'One Dance', 'Don’t Matter To Me (with Michael Jackson)', 'Passionfruit']","['spotify:track:6DCZcSspjsKoFjzjrWoCdn', 'spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ', 'spotify:track:0TlLq3lA83rQOYtrqBqSct', 'spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL', 'spotify:track:3CA9pLiwRIGtUBiMjbZmRw', 'spotify:track:6vN77lE9LK6HP2DewaN6HZ', 'spotify:track:6wWaVoUOzLQJHd3bWAUpdZ', 'spotify:track:1zi7xx7UVEFkmKfv06H8x0', 'spotify:track:6G8kHiVZ1jW7vHMPVRNZU0', 'spotify:track:5mCPDVBb16L4XQwDdbRUpz']"
1,Post Malone,"[98, 97, 91, 90, 87, 86, 85, 82, 81, 80]","['Sunflower - Spider-Man: Into the Spider-Verse', 'Wow.', 'Better Now', 'rockstar (feat. 21 Savage)', 'Psycho (feat. Ty Dolla $ign)', 'I Fall Apart', 'Congratulations', 'Candy Paint', 'Go Flex', 'White Iverson']","['spotify:track:3KkXRkHbMCARz0aVfEt68P', 'spotify:track:6MWtB6iiXyIwun0YzU6DFP', 'spotify:track:7dt6x5M1jzdTEt8oCbisTK', 'spotify:track:0e7ipj03S05BNilyu5bRzt', 'spotify:track:3swc6WTsr7rl9DqQKQA55C', 'spotify:track:75ZvA4QfFiZvzhj2xkaWAh', 'spotify:track:3a1lNhkSLSkpJE4MSHpDu9', 'spotify:track:32lItqlMi4LBhb4k0BaSaC', 'spotify:track:5yuShbu70mtHXY0yLzCQLQ', 'spotify:track:6eT7xZZlB2mwyzJ2sUKG6w']"
2,XXXTENTACION,"[91, 90, 90, 88, 87, 86, 86, 86, 84, 79]","['SAD!', 'Arms Around You (feat. Maluma & Swae Lee)', 'Moonlight', 'Jocelyn Flores', 'whoa (mind in awe)', 'changes', 'Falling Down - Bonus Track', 'Fuck Love (feat. Trippie Redd)', 'Everybody Dies In Their Nightmares', 'BAD!']","['spotify:track:3ee8Jmje8o58CHK66QrVC2', 'spotify:track:2LskIZrCeLxRvCiGP8gxlh', 'spotify:track:0JP9xo3adEtGSdUEISiszL', 'spotify:track:7m9OqQk4RVRkw9JJdeAw96', 'spotify:track:7pdF27mSDuPWhppnHAmWHa', 'spotify:track:7AFASza1mXqntmGtbxXprO', 'spotify:track:4jvjzW7Hm0yK4LvvE0Paz9', 'spotify:track:7AQim7LbvFVZJE3O8TYgf2', 'spotify:track:3GVkPk8mqxz0itaAriG1L7', 'spotify:track:22An65gG31JLf9n18qjdhZ']"
3,J Balvin,"[88, 88, 72, 82, 80, 79, 79, 78, 78, 76]","['I Like It', 'Reggaeton', 'Say My Name', 'X', 'Ponle', 'No Es Justo', 'Mocca - Remix', 'Downtown', 'X - Remix', 'Familiar']","['spotify:track:58q2HKrzhC3ozto2nDdN4z', 'spotify:track:2D3z17LBMJ2HEHeBFFjTLi', 'spotify:track:3MoV1UsAJmz64LHqyiRMp0', 'spotify:track:39N9RPD9MRb5WmoLzNzPeA', 'spotify:track:28O1p0bQXH2F6Qn8jBZZR4', 'spotify:track:5qFeMRz4TvetPmzjre9Dq7', 'spotify:track:1usoXi4f0BnMART4uActEA', 'spotify:track:3Ga6eKrUFf12ouh9Yw3v2D', 'spotify:track:6JjPBQfI2Y8nIjnm65X6Pw', 'spotify:track:0Y4hwUppbGc8aIBmiTz30A']"
4,Ed Sheeran,"[87, 85, 84, 66, 67, 82, 81, 80, 78, 78]","['Perfect', 'Shape of You', 'Happier', 'Photograph', 'Thinking out Loud', 'Perfect Duet (Ed Sheeran & Beyoncé)', 'Galway Girl', 'Castle on the Hill', 'Supermarket Flowers', 'Dive']","['spotify:track:0tgVpDi06FyKpA1z0VMD4v', 'spotify:track:7qiZfU4dY1lWllzX7mPBI3', 'spotify:track:2RttW7RAu5nOAfq6YFvApB', 'spotify:track:6fxVffaTuwjgEk5h9QyRjy', 'spotify:track:1Slwb6dOYkBlWal1PGtnNg', 'spotify:track:1bhUWB0zJMIKr9yVPrkEuI', 'spotify:track:0afhq8XCExXpqazXczTSve', 'spotify:track:6PCUP3dWmTjcTtXY02oFdT', 'spotify:track:4VuS959DSpr82t3qBqCrWG', 'spotify:track:51ChrwmUPDJvedPQnIU8Ls']"
5,Eminem,"[84, 83, 81, 81, 80, 80, 80, 80, 79, 77]","['Lucky You (feat. Joyner Lucas)', ""'Till I Collapse"", 'Killshot', 'Venom - Music From The Motion Picture', 'River (feat. Ed Sheeran)', 'Love The Way You Lie', 'Lose Yourself - From ""8 Mile"" Soundtrack', 'Without Me', 'The Ringer', 'Fall']","['spotify:track:60SdxE8apGAxMiRrpbmLY0', 'spotify:track:4xkOaSrkexMciUUogZKVTS', 'spotify:track:1jo3TwNGCXfNdB5uba3ZVv', 'spotify:track:2SL6oP2YAEQbqsrkOzRGO4', 'spotify:track:1cS0TgbR263ey9jn0MwD2s', 'spotify:track:15JINEqzVMv3SvJTAXAKED', 'spotify:track:5Z01UMMf7V1o0MzF86s6WJ', 'spotify:track:7lQ8MOhq6IN2w8EYcFNSUk', 'spotify:track:2jt2WxXMCD4zjACthkJQVE', 'spotify:track:58QhkbaAkLFnn7JwAnAato']"
6,Bad Bunny,"[94, 88, 88, 86, 80, 82, 82, 79, 79, 79]","['MIA (feat. Drake)', 'I Like It', 'NI BIEN NI MAL', 'Te Boté - Remix', 'Solo de Mi', 'Está Rico', 'Caro', 'Estamos Bien', 'Otra Noche en Miami', 'La Romana']","['spotify:track:116H0KvKr2Zl4RPuVBruDO', 'spotify:track:58q2HKrzhC3ozto2nDdN4z', 'spotify:track:278kSqsZIiYp8p3QjYAqa8', 'spotify:track:3V8UKqhEK5zBkBb6d6ub8i', 'spotify:track:4uP3pUP18ennmz0tb3GphR', 'spotify:track:2wRkBumdItthjYP9XknImg', 'spotify:track:6it15CsDlkqB7N4lF0C1qM', 'spotify:track:2OWVCFTolecLiGZPquvWvT', 'spotify:track:4vCAzANUWDE24URV6wQ4ra', 'spotify:track:1khmgu0pveJbkbpbkyvcQv']"
7,Ozuna,"[95, 90, 88, 69, 85, 84, 82, 81, 80, 80]","['Taki Taki (with Selena Gomez, Ozuna & Cardi B)', 'Baila Baila Baila', 'Vaina Loca', 'Imposible', 'Asesina - Remix', 'Ibiza', 'Luz Apaga', 'Devuelveme', 'Criminal', 'Callao']","['spotify:track:4w8niZpiMy6qz1mntFA5uM', 'spotify:track:7uH27oIt4a6cIFCA8ZPcyG', 'spotify:track:48zFZh27QU5qsrBjn4C2FA', 'spotify:track:4cuGZb0iFyHtwaSKdKrJkF', 'spotify:track:59PYgzOiOjGDzjDT5N5oOX', 'spotify:track:1h9P5WJwyvK8OB7O2YiXgp', 'spotify:track:5Q3e16qE1RE5oilN3ukasm', 'spotify:track:5uvucCRBTkxv7VxIDLOqe7', 'spotify:track:6Za3190Sbw39BBC77WSS1C', 'spotify:track:3gu0fRSgFuc4FmrtIv0DnC']"
8,Khalid,"[81, 90, 81, 86, 84, 84, 84, 83, 83, 82]","['Eastside (with Halsey & Khalid)', 'lovely (with Khalid)', 'Saturday Nights', 'Better', 'Love Lies (with Normani)', 'Silence', 'Young Dumb & Broke', 'Talk', 'Ocean (feat. Khalid)', 'Location']","['spotify:track:7FGq80cy8juXBCD2nrqdWU', 'spotify:track:0u2P5u6lvoDfwTYjAADbn4', 'spotify:track:5kfNriitmkNE8mUbZ7gbq8', 'spotify:track:6zeeWid2sgw4lap2jV61PZ', 'spotify:track:45Egmo7icyopuzJN0oMEdk', 'spotify:track:7vGuf3Y35N4wmASOKLUVVU', 'spotify:track:5Z3GHaZ6ec9bsiI5BenrbY', 'spotify:track:0rTV5WefWd1J3OwIheTzxM', 'spotify:track:3nc420PXjTdBV5TN0gCFkS', 'spotify:track:152lZdxL1OR0ZMW6KquMif']"
9,Kendrick Lamar,"[84, 83, 80, 79, 79, 77, 76, 74, 73, 72]","['HUMBLE.', 'All The Stars (with SZA)', 'DNA.', 'Pray For Me (with Kendrick Lamar)', 'LOVE. FEAT. ZACARI.', ""King's Dead (with Kendrick Lamar, Future & James Blake)"", 'HUMBLE. - SKRILLEX REMIX', 'LOYALTY. FEAT. RIHANNA.', 'King Kunta', 'Big Shot (with Travis Scott)']","['spotify:track:7KXjTSCq5nL1LoYtL7XAwS', 'spotify:track:3GCdLUSnKSMJhs4Tj6CV3s', 'spotify:track:6HZILIRieu8S0iqY8kIKhj', 'spotify:track:77UjLW8j5UAGAGVGhR5oUK', 'spotify:track:6PGoSes0D9eUDeeAafB2As', 'spotify:track:51rXHuKN8Loc4sUlKPODgH', 'spotify:track:65ES1qwOB577ZnTkizMXJJ', 'spotify:track:6SwRhMLwNqEi6alNPVG00n', 'spotify:track:0N3W5peJUQtI4eyR6GJT5O', 'spotify:track:5cXg9IQS34FzLVdHhp7hu7']"
