,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Drake,God's Plan,88,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
1,Drake,In My Feelings,87,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
2,Drake,Nonstop,87,0.0164,0.912,238614,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422
3,Drake,Look Alive (feat. Drake),85,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
4,Drake,Nice For What,84,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
5,Drake,Yes Indeed,84,0.035,0.964,142273,0.346,0,5,0.108,-9.309,0,0.53,119.958,4,0.562
6,Drake,"Never Recover (Lil Baby & Gunna, Drake)",84,0.0716,0.757,194732,0.69,0,1,0.192,-5.327,0,0.282,132.064,4,0.914
7,Drake,One Dance,81,0.00842,0.796,173987,0.61,0.00286,1,0.351,-5.857,1,0.0516,103.99,4,0.391
8,Drake,Don’t Matter To Me (with Michael Jackson),80,0.493,0.826,245787,0.318,0.0131,10,0.11,-12.391,1,0.0574,103.002,4,0.138
9,Drake,Passionfruit,80,0.304,0.804,298941,0.459,0.0862,11,0.11,-11.556,1,0.039,111.963,4,0.372
0,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,98,0.556,0.76,158040,0.479,0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
1,Post Malone,Wow.,97,0.163,0.833,149520,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,0.385
2,Post Malone,Better Now,91,0.354,0.68,231267,0.563,0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
3,Post Malone,rockstar (feat. 21 Savage),90,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
4,Post Malone,Psycho (feat. Ty Dolla $ign),87,0.58,0.739,221440,0.559,0,8,0.112,-8.011,1,0.117,140.124,4,0.439
5,Post Malone,I Fall Apart,86,0.0689,0.556,223347,0.538,0,8,0.196,-5.408,0,0.0382,143.95,4,0.291
6,Post Malone,Congratulations,85,0.215,0.63,220293,0.804,0,6,0.253,-4.183,1,0.0363,123.146,4,0.492
7,Post Malone,Candy Paint,82,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
8,Post Malone,Go Flex,81,0.228,0.665,179613,0.498,0,5,0.0757,-8.185,1,0.0831,81.967,4,0.127
9,Post Malone,White Iverson,80,0.233,0.675,256533,0.562,0,7,0.0816,-7.678,1,0.0352,130.098,4,0.309
0,XXXTENTACION,SAD!,91,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
1,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),90,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288
2,XXXTENTACION,Moonlight,90,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
3,XXXTENTACION,Jocelyn Flores,88,0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
4,XXXTENTACION,whoa (mind in awe),87,0.653,0.735,157777,0.525,0.918,6,0.101,-2.939,0,0.0441,160.147,4,0.369
5,XXXTENTACION,changes,86,0.883,0.669,121887,0.308,0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
6,XXXTENTACION,Falling Down - Bonus Track,86,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
7,XXXTENTACION,Fuck Love (feat. Trippie Redd),86,0.0172,0.797,146520,0.533,0.000152,0,0.103,-9.74,0,0.0412,131.036,4,0.329
8,XXXTENTACION,Everybody Dies In Their Nightmares,84,0.847,0.734,95467,0.57,2.14e-05,7,0.112,-7.066,0,0.133,129.953,4,0.689
9,XXXTENTACION,BAD!,79,0.0643,0.78,94246,0.492,0.0313,5,0.174,-3.4,0,0.0671,143.983,4,0.374
0,J Balvin,I Like It,88,0.099,0.816,253390,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65
1,J Balvin,Reggaeton,88,0.0165,0.747,158800,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,0.552
2,J Balvin,Say My Name,72,0.137,0.703,198947,0.66,0,10,0.192,-5.119,0,0.123,95.031,4,0.79
3,J Balvin,X,82,0.0364,0.595,173628,0.773,0.00108,9,0.334,-4.736,0,0.0549,180.073,4,0.711
4,J Balvin,Ponle,80,0.187,0.857,164765,0.772,0.00181,10,0.0851,-4.736,0,0.194,94.028,4,0.589
5,J Balvin,No Es Justo,79,0.161,0.684,250840,0.811,0.000363,7,0.0871,-4.494,1,0.0714,87.866,4,0.721
6,J Balvin,Mocca - Remix,79,0.213,0.732,202876,0.758,0,11,0.388,-1.694,1,0.189,98.007,4,0.78
7,J Balvin,Downtown,78,0.18,0.775,193456,0.679,7.26e-05,4,0.068,-4.985,0,0.135,166.008,4,0.619
8,J Balvin,X - Remix,78,0.0561,0.663,235747,0.696,3.77e-05,9,0.0778,-4.957,0,0.103,180.113,4,0.738
9,J Balvin,Familiar,76,0.0161,0.636,196552,0.805,0,9,0.0793,-4.594,1,0.327,92.958,4,0.908
0,Ed Sheeran,Perfect,87,0.163,0.599,263400,0.448,0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
1,Ed Sheeran,Shape of You,85,0.581,0.825,233713,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
2,Ed Sheeran,Happier,84,0.536,0.522,207520,0.385,0,0,0.135,-7.355,1,0.0288,89.792,4,0.236
3,Ed Sheeran,Photograph,66,0.607,0.614,258987,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
4,Ed Sheeran,Thinking out Loud,67,0.474,0.781,281560,0.445,0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
5,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),82,0.779,0.587,259550,0.299,0,8,0.123,-7.365,1,0.0263,94.992,3,0.356
6,Ed Sheeran,Galway Girl,81,0.0735,0.624,170827,0.876,0,9,0.327,-3.374,1,0.1,99.943,4,0.781
